legacy_table,module_id,prisma_model,mapping_status,notes
MainEtemad5,M-UNASSIGNED,,missing,
MainTaxes,M7,,missing,
MaintenanceOperation,M-UNASSIGNED,,missing,
ManualDaribaSadadD,M7,,missing,
ManualDaribaSadadH,M7,,missing,
ManufactPlanD,M8,,missing,
ManufactPlanH,M8,,missing,
ManufactProcessD1,M8,,missing,
ManufactProcessD2,M8,,missing,
ManufactProcessD3,M8,,missing,
ManufactProcessD4,M8,,missing,
ManufactProcessH,M8,,missing,
ManufactSampleD,M8,,missing,
ManufactSampleH,M8,,missing,
ManufactWayD1,M8,,missing,
ManufactWayD2,M8,,missing,
ManufactWayD3,M8,,missing,
ManufactWayH,M8,,missing,
MarketingCompanyD,M-UNASSIGNED,,missing,
MarketingCompanyH,M-UNASSIGNED,,missing,
MealPeriod,M-UNASSIGNED,,missing,
Medcine1D1,M-UNASSIGNED,,missing,
Medcine1D2,M-UNASSIGNED,,missing,
Medcine1H,M-UNASSIGNED,,missing,
Medcine2D1,M-UNASSIGNED,,missing,
Medcine2D2,M-UNASSIGNED,,missing,
Medcine2H,M-UNASSIGNED,,missing,
MosAiadaD,M-LEGACY-MOS,,legacy_optional,
MosAiadaH,M-LEGACY-MOS,,legacy_optional,
MosAsha,M-LEGACY-MOS,,legacy_optional,
MosBuilding,M-LEGACY-MOS,,legacy_optional,
MosChanel,M-LEGACY-MOS,,legacy_optional,
MosDawamD,M-LEGACY-MOS,,legacy_optional,
MosDawamH,M-LEGACY-MOS,,legacy_optional,
MosDawamPolicy,M-LEGACY-MOS,,legacy_optional,
MosDegree,M-LEGACY-MOS,,legacy_optional,
MosDoctorD,M-LEGACY-MOS,,legacy_optional,
MosDoctorH,M-LEGACY-MOS,,legacy_optional,
MosEstkbal,M-LEGACY-MOS,,legacy_optional,
MosFarmecy,M-LEGACY-MOS,,legacy_optional,
MosFarmecyD,M-LEGACY-MOS,,legacy_optional,
MosFarmecyMedPerson,M-LEGACY-MOS,,legacy_optional,
MosFileCompanyAiadaVisitH,M-LEGACY-MOS,,legacy_optional,
MosFileCompanyContractH,M-LEGACY-MOS,,legacy_optional,
MosFileCompanyD,M-LEGACY-MOS,,legacy_optional,
MosFileCompanyDiscountH,M-LEGACY-MOS,,legacy_optional,
MosFileCompanyH,M-LEGACY-MOS,,legacy_optional,
MosFileCompanykhedmaPriceH,M-LEGACY-MOS,,legacy_optional,
MosGender,M-LEGACY-MOS,,legacy_optional,
MosHiddenScreen,M-LEGACY-MOS,,legacy_optional,
MosInternalD,M-LEGACY-MOS,,legacy_optional,
MosInternalD1,M-LEGACY-MOS,,legacy_optional,
MosInternalH,M-LEGACY-MOS,,legacy_optional,
MosInvoiceD,M-LEGACY-MOS,,legacy_optional,
MosInvoiceH,M-LEGACY-MOS,,legacy_optional,
MosKashf,M-LEGACY-MOS,,legacy_optional,
MosKashfChart,M-LEGACY-MOS,,legacy_optional,
MosKashfKhedma,M-LEGACY-MOS,,legacy_optional,
MosKashfKhedmaD,M-LEGACY-MOS,,legacy_optional,
MosKashfKhedmaH,M-LEGACY-MOS,,legacy_optional,
MosKashfKhedmaMedPerson,M-LEGACY-MOS,,legacy_optional,
MosKashfTahweel,M-LEGACY-MOS,,legacy_optional,
MosKhedmaD,M-LEGACY-MOS,,legacy_optional,
MosKhedmaH,M-LEGACY-MOS,,legacy_optional,
MosKhedmaTasneef,M-LEGACY-MOS,,legacy_optional,
MosMainCompanyAiadaVisitH,M-LEGACY-MOS,,legacy_optional,
MosMainCompanyContractH,M-LEGACY-MOS,,legacy_optional,
MosMainCompanyDiscountH,M-LEGACY-MOS,,legacy_optional,
MosMainCompanyH,M-LEGACY-MOS,,legacy_optional,
MosMainCompanykhedmaPriceH,M-LEGACY-MOS,,legacy_optional,
MosMainTameenCompany,M-LEGACY-MOS,,legacy_optional,
